file,original_file,date,file_type,min_temp,max_temp,mean_temp,std_temp,valid_pixels,total_pixels,coverage,city
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2025-001_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2025001.h25v06.061.2025011011841.hdf,2025-001,HDF,-29.30999999999997,30.970000000000027,16.630040964039107,8.597729022266135,1141489,1440000,0.7927006944444445,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-361_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024361.h25v06.061.2025004043604.hdf,2024-361,HDF,-33.52999999999997,32.03000000000003,17.447605407392103,9.675231992139176,1120984,1440000,0.7784611111111112,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-353_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024353.h25v06.061.2024366032328.hdf,2024-353,HDF,-31.369999999999976,30.370000000000005,17.900762296846047,8.066696651592313,1366082,1440000,0.9486680555555556,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-345_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024345.h25v06.061.2024359025739.hdf,2024-345,HDF,-25.289999999999964,30.970000000000027,17.844921224416026,6.882462884465018,1432487,1440000,0.9947826388888888,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-337_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024337.h25v06.061.2024347150505.hdf,2024-337,HDF,-25.44999999999996,32.13000000000005,20.513759607411327,7.632342236930415,1426633,1440000,0.9907173611111112,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-329_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024329.h25v06.061.2024338043903.hdf,2024-329,HDF,-26.049999999999983,31.49000000000001,20.396594453749174,7.61904222490567,1365499,1440000,0.9482631944444444,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-321_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024321.h25v06.061.2024337170609.hdf,2024-321,HDF,-26.66999999999996,32.43000000000001,22.1492351475553,7.218886014325506,1395511,1440000,0.9691048611111112,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-313_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024313.h25v06.061.2024327020022.hdf,2024-313,HDF,-23.149999999999977,34.81,24.33424739056249,7.224473858819985,1372518,1440000,0.9531375,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-305_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024305.h25v06.061.2024317192950.hdf,2024-305,HDF,-25.789999999999964,37.47000000000003,25.540573508646226,6.707990603686912,1409290,1440000,0.9786736111111112,pune
F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\processed\pune_lst_2024-297_hdf.tif,F:\Urban\UHI_MIGITAGION_PLANNER-\data\processed\pune\raw\MOD11A2.A2024297.h25v06.061.2024306220711.hdf,2024-297,HDF,-18.44999999999996,41.51000000000005,26.071410816836448,6.899878244573931,1312417,1440000,0.9114006944444444,pune
